Time,tavolaRotante._axisInterface.axisActualPosition,braccioSx._axisInterface.axisActualPosition,braccioDx._axisInterface.axisActualPosition,tavolaRotante._axisInterface.axisOn,tavolaRotante._axisInterface.axisReferenced,tavolaRotante._axisInterface.axisPos1,tavolaRotante._axisInterface.axisPos2,braccioSx._axisInterface.axisOn,braccioSx._axisInterface.axisReferenced,braccioSx._axisInterface.axisPos1,braccioSx._axisInterface.axisPos2,braccioSx._instGripper._gripperInterface.gripperOpened,braccioSx._instGripper._gripperInterface.gripperClosed,braccioDx._axisInterface.axisOn,braccioDx._axisInterface.axisReferenced,braccioDx._axisInterface.axisPos1,braccioDx._axisInterface.axisPos2,braccioDx._instGripper._gripperInterface.gripperOpened,braccioDx._instGripper._gripperInterface.gripperClosed,start
2024-05-08T16:53:09.5340590Z,90,100,45.801,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:09.8340447Z,90,100,15.8,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:10.1339719Z,90,100,4.9510000000000005,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
2024-05-08T16:53:10.4340175Z,90,100,4.997,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
2024-05-08T16:53:10.7340060Z,90,100,5,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
2024-05-08T16:53:11.0340108Z,90,100,5,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
2024-05-08T16:53:11.3339943Z,90,100,29.171,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:11.6340548Z,90,100,59.198,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:11.9339875Z,90,100,89.199,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:12.2339894Z,90,100,100.048,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:12.5339637Z,90,100,100.002,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:12.8340646Z,90,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:13.1340249Z,90,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:13.4339965Z,90,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:13.7339867Z,90,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:14.0339698Z,90,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:14.3340118Z,90,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:14.6339762Z,113.668,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:14.9340306Z,143.698,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:15.2340128Z,173.699,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:15.5340163Z,203.699,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:15.8340158Z,233.699,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:16.1339751Z,263.7,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:16.4341887Z,270.031,100,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:16.7341503Z,270.00100000000003,100,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:17.0340202Z,270,100,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:17.3340036Z,270,100,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:17.6341479Z,270,100,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:17.9340030Z,270,75.828,100,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:18.2340133Z,270,45.801,100,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:18.5339806Z,270,15.8,100,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:18.8340847Z,270,4.9510000000000005,100,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:19.1341076Z,270,4.997,100,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:19.4340033Z,270,5,100,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:19.7340256Z,270,5,100,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:20.0341165Z,270,29.171,100,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:20.3340944Z,270,59.198,100,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:20.6339900Z,270,89.199,100,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:20.9339681Z,270,100.048,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:21.2339982Z,270,100.002,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:21.5339813Z,270,100,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:21.8339687Z,270,100,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:22.1339936Z,270,100,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:22.4339893Z,270,100,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:22.7339686Z,270,75.828,100,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:23.0340122Z,270,45.801,100,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:23.3340209Z,270,15.8,100,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:23.6339759Z,270,4.9510000000000005,100,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true
